<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB;D;20161013;0;63.1450000;63.7125000;62.4055000;63.0014000;456738
USDRUB;D;20161014;0;62.9994000;63.3068000;62.3880000;62.8070000;439807
USDRUB;D;20161017;0;62.9400000;63.3261000;62.2495000;63.0890000;395629
USDRUB;D;20161018;0;63.1039000;63.1543000;62.2779000;62.2779000;337970
USDRUB;D;20161019;0;62.5419000;62.9828000;62.1260000;62.1810000;360935
USDRUB;D;20161020;0;62.1666000;62.5045000;61.8200000;62.2603000;380264
USDRUB;D;20161021;0;62.3970000;62.5865000;62.0479000;62.3060000;420606
USDRUB;D;20161024;0;62.3781000;62.8491000;61.9015000;62.1461000;417298
USDRUB;D;20161025;0;62.2036000;62.4403000;61.8418000;62.0530000;399257
USDRUB;D;20161026;0;62.1859000;64.0230000;61.3390000;62.6786000;375425
USDRUB;D;20161027;0;62.7511000;63.2473000;62.4100000;62.6996000;393269
USDRUB;D;20161028;0;62.6300000;63.1374000;61.8850000;62.7260000;418842
USDRUB;D;20161031;0;62.9679000;63.5891000;61.9030000;63.1430000;350921
USDRUB;D;20161101;0;63.1430000;63.4589000;62.4230000;63.2060000;390666
USDRUB;D;20161102;0;63.2060000;63.8415000;63.1722000;63.4720000;445496
USDRUB;D;20161103;0;63.4988000;63.8327000;63.0768000;63.3960000;441982
USDRUB;D;20161104;0;63.3960000;64.6539000;63.3950000;63.6754000;300943
USDRUB;D;20161107;0;64.2013000;64.6642000;63.4110000;63.6556000;361226
USDRUB;D;20161108;0;63.6556000;63.9815000;63.4121000;63.7608000;343576
USDRUB;D;20161109;0;63.7455000;64.7575000;63.1714000;63.7461000;550948
USDRUB;D;20161110;0;63.8342000;65.6680000;62.6616000;65.0888000;505475
USDRUB;D;20161111;0;65.3384000;66.8966000;64.2974000;65.6366000;543070
USDRUB;D;20161114;0;65.8934000;66.4885000;64.4082000;65.9878000;503954
USDRUB;D;20161115;0;65.9850000;66.3842000;64.0500000;64.1515000;462635
USDRUB;D;20161116;0;64.1449000;65.5700000;63.6390000;64.3404000;530023
USDRUB;D;20161117;0;64.5553000;65.0867000;63.9302000;64.8502000;458465
USDRUB;D;20161118;0;64.8503000;65.3112000;64.4604000;64.7132000;459713
USDRUB;D;20161121;0;64.6847000;64.9661000;63.7421000;63.8125000;448928
USDRUB;D;20161122;0;63.9642000;64.2783000;63.4288000;63.7353000;525818
USDRUB;D;20161123;0;63.7513000;64.9380000;62.8321000;64.4035000;578691
USDRUB;D;20161124;0;64.4035000;64.7971000;64.0635000;64.4659000;551216
USDRUB;D;20161125;0;64.5044000;64.9694000;64.1865000;64.8741000;547330
USDRUB;D;20161128;0;64.4896000;65.2420000;63.8575000;64.8101000;537176
USDRUB;D;20161129;0;64.8009000;65.4971000;64.4570000;65.1939000;593152
USDRUB;D;20161130;0;65.2180000;65.3822000;63.9420000;64.1030000;682790
USDRUB;D;20161201;0;64.1077000;64.3523000;63.4350000;63.9555000;552107
USDRUB;D;20161202;0;63.9555000;64.3462000;63.4220000;63.9005000;488036
USDRUB;D;20161205;0;63.8438000;64.4007000;62.6843000;63.7645000;482823
USDRUB;D;20161206;0;63.7645000;63.9840000;63.6213000;63.8398000;508917
USDRUB;D;20161207;0;63.8398000;63.9814000;63.0460000;63.2061000;533663
USDRUB;D;20161208;0;63.2200000;63.7964000;63.0874000;63.2853000;544772
USDRUB;D;20161209;0;63.3126000;64.0907000;62.1628000;62.2954000;440414
USDRUB;D;20161212;0;62.4340000;63.5229000;60.6680000;61.0006000;462287
USDRUB;D;20161213;0;61.0006000;61.2695000;60.4080000;60.5942000;384680
USDRUB;D;20161214;0;60.5942000;62.3496000;60.3691000;62.0721000;426410
USDRUB;D;20161215;0;62.0721000;62.1821000;61.2938000;61.7205000;431280
USDRUB;D;20161216;0;61.7442000;62.5035000;60.8990000;62.0599000;407850
USDRUB;D;20161219;0;62.0798000;62.2455000;61.1046000;61.8938000;360006
USDRUB;D;20161220;0;61.9136000;62.0526000;61.2715000;61.4588000;379124
USDRUB;D;20161221;0;61.4527000;61.4662000;60.6340000;61.1280000;379294
USDRUB;D;20161222;0;61.1506000;61.3210000;60.5574000;60.9356000;352668
USDRUB;D;20161223;0;60.9356000;61.3787000;60.7309000;61.0655000;335312
USDRUB;D;20161226;0;61.0120000;61.3589000;60.3951000;60.9399000;163063
USDRUB;D;20161227;0;60.9040000;62.1903000;60.3844000;60.7114000;334266
USDRUB;D;20161228;0;60.7287000;60.9245000;60.0470000;60.3561000;335651
USDRUB;D;20161229;0;60.3842000;60.8869000;60.0416000;60.0519000;424634
USDRUB;D;20161230;0;60.4392000;61.6442000;59.6791000;61.4918000;300881
USDRUB;D;20170103;0;61.1890000;61.2880000;60.2959000;60.9423000;307321
USDRUB;D;20170104;0;60.9853000;61.2050000;60.1059000;60.4532000;331790
USDRUB;D;20170105;0;60.4478000;60.5100000;59.1350000;59.4324000;411594
USDRUB;D;20170106;0;59.4519000;59.7521000;58.9472000;59.6140000;323232
USDRUB;D;20170109;0;59.6506000;60.1048000;58.9758000;60.0784000;349631
USDRUB;D;20170110;0;60.0680000;60.2769000;58.7282000;60.0723000;378479
USDRUB;D;20170111;0;60.0723000;60.6899000;58.9825000;59.7924000;456671
USDRUB;D;20170112;0;59.8133000;59.9299000;59.0525000;59.3380000;437058
USDRUB;D;20170113;0;59.3380000;59.8530000;59.0578000;59.5888000;408886
USDRUB;D;20170116;0;59.6455000;59.9422000;58.9545000;59.8499000;326898
